Bill_ID,Timestamp,Date,Customer_ID,Purchased_Products,Total_Amount,Transaction_Count
B1000,18:22,2024-12-01,C100,"Bread,Cheese,Soap,Eggs,Rice,Shampoo",470,1
B1001,18:25,2024-12-01,C101,"Eggs,Rice",170,1
B1002,15:00,2024-12-01,C102,"Milk,Butter,Tomato,Rice",270,1
B1003,14:34,2024-12-01,C103,"Tomato,Eggs,Shampoo",210,1
B1004,15:12,2024-12-01,C104,"Eggs,Cheese,Rice,Soap,Onions",365,1
B1005,13:42,2024-12-01,C105,"Butter,Bread,Onions,Eggs",255,1
B1006,16:38,2024-12-01,C106,"Onions,Shampoo,Rice,Cheese,Soap",365,1
B1007,16:10,2024-12-01,C107,"Soap,Tomato,Cheese",200,1
B1008,18:26,2024-12-01,C108,"Onions,Rice,Tomato,Bread",175,1
B1009,12:37,2024-12-01,C109,"Shampoo,Cheese",210,1
B1010,11:10,2024-12-01,C110,"Eggs,Cheese,Onions,Tomato",265,1
B1011,08:35,2024-12-01,C111,"Eggs,Onions,Bread",155,1
B1012,12:31,2024-12-01,C112,"Soap,Bread,Shampoo,Butter",280,1
B1013,13:40,2024-12-01,C113,"Bread,Butter,Onions,Shampoo,Rice",335,1
B1014,10:24,2024-12-01,C114,"Onions,Cheese,Milk,Tomato,Shampoo",325,1
B1015,11:26,2024-12-01,C115,"Tomato,Butter,Shampoo,Milk,Soap",330,1
B1016,19:00,2024-12-01,C116,"Milk,Cheese,Shampoo",270,1
B1017,17:21,2024-12-01,C117,"Cheese,Soap,Onions,Butter,Milk,Rice",435,1
B1018,15:01,2024-12-01,C118,"Cheese,Tomato",150,1
B1019,13:00,2024-12-01,C119,"Eggs,Tomato",120,1
B1020,14:28,2024-12-02,C120,"Bread,Milk",100,1
B1021,19:59,2024-12-02,C121,"Milk,Onions",85,1
B1022,18:14,2024-12-02,C122,"Soap,Shampoo,Rice",220,1
B1023,13:46,2024-12-02,C123,"Butter,Soap,Cheese",270,1
B1024,19:09,2024-12-02,C124,"Shampoo,Bread,Onions,Milk,Rice",295,1
B1025,08:08,2024-12-02,C125,"Tomato,Butter,Cheese,Onions,Bread,Soap",365,1
B1026,15:45,2024-12-02,C126,"Butter,Shampoo,Onions,Milk,Tomato",305,1
B1027,09:15,2024-12-02,C127,"Rice,Shampoo,Soap",220,1
B1028,15:00,2024-12-02,C128,"Onions,Butter,Rice",205,1
B1029,16:45,2024-12-02,C129,"Cheese,Butter,Rice,Tomato",330,1
B1030,17:37,2024-12-02,C130,"Butter,Eggs,Soap,Tomato",270,1
B1031,15:52,2024-12-02,C131,"Tomato,Cheese,Milk,Shampoo,Bread",340,1
B1032,13:21,2024-12-02,C132,"Bread,Eggs,Soap,Tomato",210,1
B1033,17:14,2024-12-02,C133,"Milk,Bread,Rice,Soap,Eggs",320,1
B1034,14:18,2024-12-02,C134,"Tomato,Butter,Milk,Onions,Shampoo",305,1
B1035,11:57,2024-12-02,C135,"Shampoo,Milk,Cheese,Soap,Eggs",410,1
B1036,18:19,2024-12-02,C136,"Butter,Cheese,Soap",270,1
B1037,16:14,2024-12-02,C137,"Rice,Tomato,Soap,Milk,Cheese,Shampoo",430,1
B1038,17:48,2024-12-02,C138,"Tomato,Onions",55,1
B1039,15:23,2024-12-02,C139,"Cheese,Bread,Milk,Butter,Eggs,Soap",460,1
